model,processing,cycle,variant,dataset,class_id,class_name,roc_auc
rtdetr,clahe,3,pretrained,test,2,Western_Leopard_Toad,0.9993930401942273
rtdetr,clahe,3,pretrained,val,0,Other_Amphibian,0.0
rtdetr,clahe,3,pretrained,val,1,Small_Mammal,0.08506592292089243
rtdetr,clahe,3,pretrained,val,2,Western_Leopard_Toad,0.40998985801217036
rtdetr,clahe,3,scratch,test,0,Other_Amphibian,0.4334862385321101
rtdetr,clahe,3,scratch,test,1,Small_Mammal,0.11631827376938636
rtdetr,clahe,3,scratch,test,2,Western_Leopard_Toad,0.9993930401942273
rtdetr,clahe,3,scratch,val,0,Other_Amphibian,0.11904158215010141
rtdetr,clahe,3,scratch,val,1,Small_Mammal,0.3155425963488844
rtdetr,clahe,3,scratch,val,2,Western_Leopard_Toad,0.0
rtdetr,clahe,4,pretrained,test,0,Other_Amphibian,0.17255801403130056
rtdetr,clahe,4,pretrained,test,1,Small_Mammal,0.10121375590020226
rtdetr,clahe,4,pretrained,test,2,Western_Leopard_Toad,0.9993930401942273
rtdetr,clahe,4,pretrained,val,0,Other_Amphibian,0.0
rtdetr,clahe,4,pretrained,val,1,Small_Mammal,0.2666075050709939
rtdetr,clahe,4,pretrained,val,2,Western_Leopard_Toad,0.11650608519269778
rtdetr,clahe,4,scratch,test,0,Other_Amphibian,0.15524374887569697
rtdetr,clahe,4,scratch,test,1,Small_Mammal,0.4849629130141605
rtdetr,clahe,4,scratch,test,2,Western_Leopard_Toad,0.9998651200431615
rtdetr,clahe,4,scratch,val,0,Other_Amphibian,0.0
rtdetr,clahe,4,scratch,val,1,Small_Mammal,0.4603194726166328
rtdetr,clahe,4,scratch,val,2,Western_Leopard_Toad,0.0
rtdetr,plain,0,pretrained,test,0,Other_Amphibian,0.0787236913113869
rtdetr,plain,0,pretrained,test,1,Small_Mammal,0.034659474039109905
rtdetr,plain,0,pretrained,test,2,Western_Leopard_Toad,0.9992581602373888
rtdetr,plain,0,pretrained,val,0,Other_Amphibian,0.0
rtdetr,plain,0,pretrained,val,1,Small_Mammal,0.07986815415821502
rtdetr,plain,0,pretrained,val,2,Western_Leopard_Toad,0.0
rtdetr,plain,0,scratch,test,0,Other_Amphibian,0.7556889728368411
rtdetr,plain,0,scratch,test,1,Small_Mammal,0.0011463250168576855
rtdetr,plain,0,scratch,test,2,Western_Leopard_Toad,0.9993930401942273
rtdetr,plain,0,scratch,val,0,Other_Amphibian,0.0011409736308315988
rtdetr,plain,0,scratch,val,1,Small_Mammal,0.002535496957403627
rtdetr,plain,0,scratch,val,2,Western_Leopard_Toad,0.0
rtdetr,plain,1,pretrained,test,0,Other_Amphibian,0.13667026443604968
rtdetr,plain,1,pretrained,test,1,Small_Mammal,0.4956169925826028
rtdetr,plain,1,pretrained,test,2,Western_Leopard_Toad,0.9993930401942273
rtdetr,plain,1,pretrained,val,0,Other_Amphibian,0.00012677484787015914
rtdetr,plain,1,pretrained,val,1,Small_Mammal,0.4827586206896552
rtdetr,plain,1,pretrained,val,2,Western_Leopard_Toad,0.09216531440162268
rtdetr,plain,1,scratch,test,0,Other_Amphibian,0.3018753372908796
rtdetr,plain,1,scratch,test,1,Small_Mammal,0.0
rtdetr,plain,1,scratch,test,2,Western_Leopard_Toad,0.9993930401942271
rtdetr,plain,1,scratch,val,0,Other_Amphibian,0.000507099391480692
rtdetr,plain,1,scratch,val,1,Small_Mammal,0.0
rtdetr,plain,1,scratch,val,2,Western_Leopard_Toad,0.0
rtdetr,plain,2,pretrained,test,0,Other_Amphibian,0.32089854290339986
rtdetr,plain,2,pretrained,test,1,Small_Mammal,0.3308159136884693
rtdetr,plain,2,pretrained,test,2,Western_Leopard_Toad,0.999325600215808
rtdetr,plain,2,pretrained,val,0,Other_Amphibian,0.0
rtdetr,plain,2,pretrained,val,1,Small_Mammal,0.21031947261663286
rtdetr,plain,2,pretrained,val,2,Western_Leopard_Toad,0.04094827586206895
rtdetr,plain,2,scratch,test,0,Other_Amphibian,0.2574878575283324
rtdetr,plain,2,scratch,test,1,Small_Mammal,0.4027646662171274
rtdetr,plain,2,scratch,test,2,Western_Leopard_Toad,0.9993930401942273
rtdetr,plain,2,scratch,val,0,Other_Amphibian,0.002155172413793094
rtdetr,plain,2,scratch,val,1,Small_Mammal,0.40808823529411764
rtdetr,plain,2,scratch,val,2,Western_Leopard_Toad,0.0
rtdetr,plain,3,pretrained,test,0,Other_Amphibian,0.4270102536427415
rtdetr,plain,3,pretrained,test,1,Small_Mammal,0.08981793661496962
rtdetr,plain,3,pretrained,test,2,Western_Leopard_Toad,0.9995279201510656
rtdetr,plain,3,pretrained,val,0,Other_Amphibian,0.054639959432048635
rtdetr,plain,3,pretrained,val,1,Small_Mammal,0.05375253549695741
rtdetr,plain,3,pretrained,val,2,Western_Leopard_Toad,0.1924442190669371
rtdetr,plain,3,scratch,test,0,Other_Amphibian,0.2667296276308689
rtdetr,plain,3,scratch,test,1,Small_Mammal,0.38192852326365473
rtdetr,plain,3,scratch,test,2,Western_Leopard_Toad,0.9995953601294848
rtdetr,plain,3,scratch,val,0,Other_Amphibian,0.0
rtdetr,plain,3,scratch,val,1,Small_Mammal,0.21082657200811356
rtdetr,plain,3,scratch,val,2,Western_Leopard_Toad,0.00012677484787015914
rtdetr,plain,4,pretrained,test,0,Other_Amphibian,0.03629249865083644
rtdetr,plain,4,pretrained,test,1,Small_Mammal,0.4756574511126096
rtdetr,plain,4,pretrained,test,2,Western_Leopard_Toad,0.9993930401942273
rtdetr,plain,4,pretrained,val,0,Other_Amphibian,0.000507099391480692
rtdetr,plain,4,pretrained,val,1,Small_Mammal,0.39642494929006084
rtdetr,plain,4,pretrained,val,2,Western_Leopard_Toad,0.0006338742393509067
rtdetr,plain,4,scratch,test,0,Other_Amphibian,0.2899577262097499
rtdetr,plain,4,scratch,test,1,Small_Mammal,0.0
rtdetr,plain,4,scratch,test,2,Western_Leopard_Toad,0.9994604801726463
rtdetr,plain,4,scratch,val,0,Other_Amphibian,0.0
rtdetr,plain,4,scratch,val,1,Small_Mammal,0.0
rtdetr,plain,4,scratch,val,2,Western_Leopard_Toad,0.06478194726166325
yolo,clahe,0,pretrained,test,0,Other_Amphibian,0.4386130599028602
yolo,clahe,0,pretrained,test,1,Small_Mammal,0.4850977747808496
yolo,clahe,0,pretrained,test,2,Western_Leopard_Toad,0.9991907202589696
yolo,clahe,0,pretrained,val,0,Other_Amphibian,0.4776876267748479
yolo,clahe,0,pretrained,val,1,Small_Mammal,0.4818711967545639
yolo,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.4922667342799188
yolo,clahe,0,scratch,test,0,Other_Amphibian,0.487722611980572
yolo,clahe,0,scratch,test,1,Small_Mammal,0.4731625084288604
yolo,clahe,0,scratch,test,2,Western_Leopard_Toad,0.9982465605611008
yolo,clahe,0,scratch,val,0,Other_Amphibian,0.4771805273833672
yolo,clahe,0,scratch,val,1,Small_Mammal,0.27510141987829617
yolo,clahe,0,scratch,val,2,Western_Leopard_Toad,0.4912525354969574
yolo,clahe,1,pretrained,test,0,Other_Amphibian,0.4710604425256341
yolo,clahe,1,pretrained,test,1,Small_Mammal,0.4989211058664868
yolo,clahe,1,pretrained,test,2,Western_Leopard_Toad,0.9994604801726463
yolo,clahe,1,pretrained,val,0,Other_Amphibian,0.4897312373225152
yolo,clahe,1,pretrained,val,1,Small_Mammal,0.4946754563894523
yolo,clahe,1,pretrained,val,2,Western_Leopard_Toad,0.497971602434077
yolo,clahe,1,scratch,test,0,Other_Amphibian,0.4784808418780356
yolo,clahe,1,scratch,test,1,Small_Mammal,0.4964935940660823
yolo,clahe,1,scratch,test,2,Western_Leopard_Toad,0.9997976800647423
yolo,clahe,1,scratch,val,0,Other_Amphibian,0.4965770791075051
yolo,clahe,1,scratch,val,1,Small_Mammal,0.4998732251521298
yolo,clahe,1,scratch,val,2,Western_Leopard_Toad,0.4918864097363083
yolo,clahe,2,pretrained,test,0,Other_Amphibian,0.4452239611440907
yolo,clahe,2,pretrained,test,1,Small_Mammal,0.4947403910991234
yolo,clahe,2,pretrained,test,2,Western_Leopard_Toad,0.9994604801726463
yolo,clahe,2,pretrained,val,0,Other_Amphibian,0.4934077079107505
yolo,clahe,2,pretrained,val,1,Small_Mammal,0.484787018255578
yolo,clahe,2,pretrained,val,2,Western_Leopard_Toad,0.497210953346856
yolo,clahe,2,scratch,test,0,Other_Amphibian,0.4660685375067458
yolo,clahe,2,scratch,test,1,Small_Mammal,0.4997302764666217
yolo,clahe,2,scratch,test,2,Western_Leopard_Toad,0.9998651200431616
yolo,clahe,2,scratch,val,0,Other_Amphibian,0.4965770791075051
yolo,clahe,2,scratch,val,1,Small_Mammal,0.4998732251521298
yolo,clahe,2,scratch,val,2,Western_Leopard_Toad,0.4984787018255578
yolo,clahe,3,pretrained,test,0,Other_Amphibian,0.4753103076092822
yolo,clahe,3,pretrained,test,1,Small_Mammal,0.498583951449764
yolo,clahe,3,pretrained,test,2,Western_Leopard_Toad,0.9995953601294848
yolo,clahe,3,pretrained,val,0,Other_Amphibian,0.4953093306288032
yolo,clahe,3,pretrained,val,1,Small_Mammal,0.5
yolo,clahe,3,pretrained,val,2,Western_Leopard_Toad,0.4724898580121704
yolo,clahe,3,scratch,test,0,Other_Amphibian,0.497369131138694
yolo,clahe,3,scratch,test,1,Small_Mammal,0.4997302764666217
yolo,clahe,3,scratch,test,2,Western_Leopard_Toad,0.9994604801726463
yolo,clahe,3,scratch,val,0,Other_Amphibian,0.4970841784989858
yolo,clahe,3,scratch,val,1,Small_Mammal,0.4991125760649087
yolo,clahe,3,scratch,val,2,Western_Leopard_Toad,0.4974645030425964
yolo,clahe,4,pretrained,test,0,Other_Amphibian,0.4547355639503508
yolo,clahe,4,pretrained,test,1,Small_Mammal,0.499527983816588
yolo,clahe,4,pretrained,test,2,Western_Leopard_Toad,0.9993930401942273
yolo,clahe,4,pretrained,val,0,Other_Amphibian,0.4894776876267748
yolo,clahe,4,pretrained,val,1,Small_Mammal,0.5
yolo,clahe,4,pretrained,val,2,Western_Leopard_Toad,0.4932809330628804
yolo,clahe,4,scratch,test,0,Other_Amphibian,0.4657987048030221
yolo,clahe,4,scratch,test,1,Small_Mammal,0.4999325691166554
yolo,clahe,4,scratch,test,2,Western_Leopard_Toad,0.9995279201510656
yolo,clahe,4,scratch,val,0,Other_Amphibian,0.4647565922920892
yolo,clahe,4,scratch,val,1,Small_Mammal,0.4968306288032454
yolo,clahe,4,scratch,val,2,Western_Leopard_Toad,0.4946754563894523
yolo,plain,0,pretrained,test,0,Other_Amphibian,0.4273475445223961
yolo,plain,0,pretrained,test,1,Small_Mammal,0.4803776129467296
yolo,plain,0,pretrained,test,2,Western_Leopard_Toad,0.999662800107904
yolo,plain,0,pretrained,val,0,Other_Amphibian,0.4822515212981744
yolo,plain,0,pretrained,val,1,Small_Mammal,0.4845334685598378
yolo,plain,0,pretrained,val,2,Western_Leopard_Toad,0.4858012170385396
yolo,plain,0,scratch,test,0,Other_Amphibian,0.468497031840259
yolo,plain,0,scratch,test,1,Small_Mammal,0.4994605529332434
yolo,plain,0,scratch,test,2,Western_Leopard_Toad,0.9993930401942273
yolo,plain,0,scratch,val,0,Other_Amphibian,0.4945486815415822
yolo,plain,0,scratch,val,1,Small_Mammal,0.4989858012170386
yolo,plain,0,scratch,val,2,Western_Leopard_Toad,0.473630831643002
