model,processing,cycle,variant,dataset,class_id,class_name,AP,recall_0.1,specificity_0.1,precision_0.1,f1_0.1,max_recall,best_thresh,spec_at_best_thresh
faster_rcnn,plain,1,pretrained,test,2,Western_Leopard_Toad,0.16666666666666666,1.0,0.9720798489344483,0.004807692307692308,0.009569377990430623,1.0,0.95,0.9991907202589695
faster_rcnn,plain,1,pretrained,val,0,Other_Amphibian,0.0,0.0,0.9949290060851927,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,1,pretrained,val,1,Small_Mammal,0.0,0.0,0.9967038539553753,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,1,pretrained,val,2,Western_Leopard_Toad,0.0,0.0,0.9997464503042597,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,1,scratch,test,0,Other_Amphibian,0.0,0.0,0.8704803022126282,0.0,0.0,1.0,0.01,0.7064220183486238
faster_rcnn,plain,1,scratch,test,1,Small_Mammal,0.0,0.0,0.9994605529332434,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,1,scratch,test,2,Western_Leopard_Toad,0.1,1.0,0.9642568114378204,0.0037593984962406013,0.00749063670411985,1.0,0.92,0.9986512004316158
faster_rcnn,plain,1,scratch,val,0,Other_Amphibian,0.0,0.0,0.9574036511156186,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,1,scratch,val,1,Small_Mammal,0.0,0.0,0.9997464503042597,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,1,scratch,val,2,Western_Leopard_Toad,0.0,0.0,0.9880831643002028,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,2,pretrained,test,0,Other_Amphibian,0.0,0.0,0.942390717754992,0.0,0.0,1.0,0.01,0.5439827307069617
faster_rcnn,plain,2,pretrained,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,2,pretrained,test,2,Western_Leopard_Toad,0.14285714285714285,1.0,0.890477475047208,0.0012300123001230013,0.002457002457002457,1.0,0.95,0.9991907202589695
faster_rcnn,plain,2,pretrained,val,0,Other_Amphibian,0.0,0.0,0.9721095334685599,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,2,pretrained,val,1,Small_Mammal,0.0,0.0,0.9989858012170385,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,2,pretrained,val,2,Western_Leopard_Toad,0.0,0.0,0.981237322515213,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,2,scratch,test,0,Other_Amphibian,0.0,0.3333333333333333,0.9272800863464652,0.001851851851851852,0.0036832412523020264,1.0,0.07,0.8805990286022666
faster_rcnn,plain,2,scratch,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,2,scratch,test,2,Western_Leopard_Toad,0.06666666666666667,1.0,0.9274345832209334,0.0018552875695732839,0.003703703703703704,1.0,0.82,0.9966280010790397
faster_rcnn,plain,2,scratch,val,0,Other_Amphibian,0.0,0.0,0.9888438133874239,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,2,scratch,val,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,2,scratch,val,2,Western_Leopard_Toad,0.0,0.0,0.9903651115618661,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,3,pretrained,test,0,Other_Amphibian,0.0,0.0,0.9812466270912035,0.0,0.0,1.0,0.01,0.7676740420939018
faster_rcnn,plain,3,pretrained,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,3,pretrained,test,2,Western_Leopard_Toad,0.1111111111111111,1.0,0.9519827353655247,0.0028011204481792717,0.00558659217877095,1.0,0.95,0.9989209603452927
faster_rcnn,plain,3,pretrained,val,0,Other_Amphibian,0.0,0.0,0.9918864097363083,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,3,pretrained,val,1,Small_Mammal,0.0,0.0,0.9994929006085193,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,3,pretrained,val,2,Western_Leopard_Toad,0.0,0.0,0.9794624746450304,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,3,scratch,test,0,Other_Amphibian,0.0,0.0,0.8457906098219105,0.0,0.0,1.0,0.04,0.710739341608203
faster_rcnn,plain,3,scratch,test,1,Small_Mammal,0.0,0.0,0.9994605529332434,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,3,scratch,test,2,Western_Leopard_Toad,0.1111111111111111,1.0,0.9633126517399514,0.003663003663003663,0.0072992700729927005,1.0,0.85,0.9989209603452927
faster_rcnn,plain,3,scratch,val,0,Other_Amphibian,0.0,0.0,0.9452332657200812,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,3,scratch,val,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,3,scratch,val,2,Western_Leopard_Toad,0.0,0.0,0.992393509127789,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,4,pretrained,test,0,Other_Amphibian,0.0,0.3333333333333333,0.9937938478143551,0.02127659574468085,0.04,0.6666666666666666,0.04,0.9906907717215326
faster_rcnn,plain,4,pretrained,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,4,pretrained,test,2,Western_Leopard_Toad,0.16666666666666666,1.0,0.9839492851362287,0.008333333333333333,0.01652892561983471,1.0,0.95,0.9991907202589695
faster_rcnn,plain,4,pretrained,val,0,Other_Amphibian,0.0,0.0,0.9903651115618661,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,4,pretrained,val,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,4,pretrained,val,2,Western_Leopard_Toad,0.0,0.0,0.9300202839756593,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,4,scratch,test,0,Other_Amphibian,0.0,0.0,0.9968969239071775,0.0,0.0,1.0,0.01,0.9774689692390718
faster_rcnn,plain,4,scratch,test,1,Small_Mammal,0.0,0.0,0.998111935266352,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,4,scratch,test,2,Western_Leopard_Toad,0.16666666666666666,1.0,0.9968977609927164,0.041666666666666664,0.07999999999999999,1.0,0.95,0.9991907202589695
faster_rcnn,plain,4,scratch,val,0,Other_Amphibian,0.0,0.0,0.994421906693712,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,4,scratch,val,1,Small_Mammal,0.0,0.0,0.9992393509127789,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,4,scratch,val,2,Western_Leopard_Toad,0.0,0.0,0.9994929006085193,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,0,pretrained,test,0,Other_Amphibian,0.0,0.0,0.8354020507285483,0.0,0.0,0.3333333333333333,0.01,0.06988667026443605
rtdetr,clahe,0,pretrained,test,1,Small_Mammal,0.0,0.0,0.8571813890761969,0.0,0.0,0.0,0.0,0.0
rtdetr,clahe,0,pretrained,test,2,Western_Leopard_Toad,0.16666666666666666,1.0,0.6884272997032641,0.00043271311120726956,0.0008650519031141869,1.0,0.92,0.9989209603452927
rtdetr,clahe,0,pretrained,val,0,Other_Amphibian,0.0,0.0,0.6313387423935092,0.0,0.0,0.0,0.0,0.0
