threshold,tp,fp,tn,fn,recall,specificity,precision,f1_score,model,processing,cycle,variant,dataset
0.46,0,76,3858,10,0.0,0.9806812404677173,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.5,0,56,3878,10,0.0,0.9857651245551602,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.53,0,47,3887,10,0.0,0.9880528723945095,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.56,0,40,3894,10,0.0,0.9898322318251144,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.59,0,31,3903,10,0.0,0.9921199796644636,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.63,0,20,3914,10,0.0,0.9949161159125572,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.66,0,15,3919,10,0.0,0.9961870869344179,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.69,0,14,3920,10,0.0,0.99644128113879,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.72,0,13,3921,10,0.0,0.9966954753431622,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.76,0,11,3923,10,0.0,0.9972038637519065,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.79,0,9,3925,10,0.0,0.9977122521606507,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.82,0,8,3926,10,0.0,0.9979664463650229,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.85,0,5,3929,10,0.0,0.9987290289781393,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.89,0,4,3930,10,0.0,0.9989832231825114,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.92,0,2,3932,10,0.0,0.9994916115912558,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.95,0,0,3934,10,0.0,1.0,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.01,12,1801,5601,1,0.9230769230769231,0.7566873817887058,0.006618863761720904,0.013143483023001095,faster_rcnn,clahe,1,scratch,test
0.04,12,863,6539,1,0.9230769230769231,0.88340988921913,0.013714285714285714,0.02702702702702703,faster_rcnn,clahe,1,scratch,test
0.07,12,650,6752,1,0.9230769230769231,0.9121858957038638,0.01812688821752266,0.03555555555555556,faster_rcnn,clahe,1,scratch,test
0.11,12,542,6860,1,0.9230769230769231,0.9267765468792218,0.021660649819494584,0.042328042328042326,faster_rcnn,clahe,1,scratch,test
0.14,12,503,6899,1,0.9230769230769231,0.93204539313699,0.02330097087378641,0.045454545454545456,faster_rcnn,clahe,1,scratch,test
0.17,12,450,6952,1,0.9230769230769231,0.9392056201026749,0.025974025974025976,0.05052631578947369,faster_rcnn,clahe,1,scratch,test
0.2,12,424,6978,1,0.9230769230769231,0.9427181842745204,0.027522935779816515,0.05345211581291759,faster_rcnn,clahe,1,scratch,test
0.24,12,392,7010,1,0.9230769230769231,0.9470413401783302,0.0297029702970297,0.05755395683453237,faster_rcnn,clahe,1,scratch,test
0.27,12,367,7035,1,0.9230769230769231,0.9504188057281816,0.0316622691292876,0.06122448979591837,faster_rcnn,clahe,1,scratch,test
0.3,12,333,7069,1,0.9230769230769231,0.9550121588759795,0.034782608695652174,0.0670391061452514,faster_rcnn,clahe,1,scratch,test
0.33,12,300,7102,1,0.9230769230769231,0.9594704134017833,0.038461538461538464,0.07384615384615384,faster_rcnn,clahe,1,scratch,test
0.37,12,258,7144,1,0.9230769230769231,0.9651445555255337,0.044444444444444446,0.08480565371024737,faster_rcnn,clahe,1,scratch,test
0.4,12,234,7168,1,0.9230769230769231,0.968386922453391,0.04878048780487805,0.09266409266409267,faster_rcnn,clahe,1,scratch,test
0.43,12,209,7193,1,0.9230769230769231,0.9717643880032424,0.05429864253393665,0.10256410256410256,faster_rcnn,clahe,1,scratch,test
0.46,12,196,7206,1,0.9230769230769231,0.9735206700891651,0.057692307692307696,0.1085972850678733,faster_rcnn,clahe,1,scratch,test
0.5,12,157,7245,1,0.9230769230769231,0.9787895163469332,0.07100591715976332,0.13186813186813187,faster_rcnn,clahe,1,scratch,test
0.53,12,124,7278,1,0.9230769230769231,0.9832477708727371,0.08823529411764706,0.16107382550335575,faster_rcnn,clahe,1,scratch,test
