model,processing,cycle,variant,dataset,mAP,binary_auc,binary_recall_0.1,binary_precision_0.1,binary_f1_0.1,Other_Amphibian_auc,Other_Amphibian_ap,Other_Amphibian_recall_0.1,Other_Amphibian_precision_0.1,Other_Amphibian_f1_0.1,Small_Mammal_auc,Small_Mammal_ap,Small_Mammal_recall_0.1,Small_Mammal_precision_0.1,Small_Mammal_f1_0.1,Western_Leopard_Toad_auc,Western_Leopard_Toad_ap,Western_Leopard_Toad_recall_0.1,Western_Leopard_Toad_precision_0.1,Western_Leopard_Toad_f1_0.1
rtdetr,clahe,1,scratch,test,0.25,0.9407956269615281,0.8461538461538461,0.006723716381418093,0.013341419041843541,0.00299064579960423,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9999325600215808,0.5,1.0,0.001402524544179523,0.0028011204481792717
rtdetr,clahe,1,scratch,val,0.0,0.692755465175394,0.3,0.0035714285714285713,0.007058823529411765,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,clahe,2,pretrained,test,0.25,0.9745183214515827,1.0,0.01008533747090768,0.019969278033794162,0.2308643640942615,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9999325600215808,0.5,1.0,0.0020920502092050207,0.0041753653444676405
rtdetr,clahe,2,pretrained,val,0.0,0.9139552618200305,1.0,0.008741258741258742,0.01733102253032929,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,clahe,2,scratch,test,0.08333333333333333,0.9813875667698959,1.0,0.006232023010546501,0.012386850881372083,0.22416351861845654,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.999325600215808,0.16666666666666666,1.0,0.0007158196134574087,0.001430615164520744
rtdetr,clahe,2,scratch,val,0.0,0.7483223182511438,0.3,0.003694581280788177,0.0072992700729927005,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,clahe,3,pretrained,test,0.25,0.9696132022530293,0.9230769230769231,0.01079136690647482,0.021333333333333333,0.022958265875157403,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9998651200431616,0.5,1.0,0.007874015748031496,0.015625
rtdetr,clahe,3,pretrained,val,0.0,0.9769445856634469,1.0,0.011876484560570071,0.023474178403755867,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,clahe,3,scratch,test,0.25,0.9298214619749341,0.8461538461538461,0.01028999064546305,0.02033271719038817,0.5244423457456376,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9998651200431616,0.5,1.0,0.0010822510822510823,0.002162162162162162
rtdetr,clahe,3,scratch,val,0.0,0.8952211489578038,0.9,0.015100671140939598,0.0297029702970297,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
