layer                                    name                type  gradient  parameters               shape        mu     sigma
   82             model.8.m.0.m.1.cv2.bn.bias         BatchNorm2d     False         128               [128]     0.205      0.38        float32
   83                 model.9.cv1.conv.weight              Conv2d     False      131072    [256, 512, 1, 1]  -0.00296    0.0314        float32
   84                   model.9.cv1.bn.weight         BatchNorm2d     False         256               [256]     0.985     0.275        float32
   84                     model.9.cv1.bn.bias         BatchNorm2d     False         256               [256] -4.26e-06  4.26e-05        float32
   85                         model.9.cv1.act            Identity     False           0                  []         -         -              -
   86                 model.9.cv2.conv.weight              Conv2d     False      524288   [512, 1024, 1, 1]  4.85e-05     0.023        float32
   87                   model.9.cv2.bn.weight         BatchNorm2d     False         512               [512]      1.11     0.398        float32
   87                     model.9.cv2.bn.bias         BatchNorm2d     False         512               [512]    -0.576     0.445        float32
   88                               model.9.m           MaxPool2d     False           0                  []         -         -              -
   89                model.10.cv1.conv.weight              Conv2d     False      262144    [512, 512, 1, 1]   -0.0016    0.0316        float32
   90                  model.10.cv1.bn.weight         BatchNorm2d     False         512               [512]      1.17     0.369        float32
   90                    model.10.cv1.bn.bias         BatchNorm2d     False         512               [512]     0.101     0.617        float32
   91                model.10.cv2.conv.weight              Conv2d     False      262144    [512, 512, 1, 1]  -0.00168    0.0302        float32
   92                  model.10.cv2.bn.weight         BatchNorm2d     False         512               [512]     0.901     0.226        float32
   92                    model.10.cv2.bn.bias         BatchNorm2d     False         512               [512]    -0.689     0.585        float32
   93       model.10.m.0.attn.qkv.conv.weight              Conv2d     False      131072    [512, 256, 1, 1] -0.000472    0.0334        float32
   94         model.10.m.0.attn.qkv.bn.weight         BatchNorm2d     False         512               [512]      1.26      0.28        float32
   94           model.10.m.0.attn.qkv.bn.bias         BatchNorm2d     False         512               [512] -0.000938     0.301        float32
   95               model.10.m.0.attn.qkv.act            Identity     False           0                  []         -         -              -
   96      model.10.m.0.attn.proj.conv.weight              Conv2d     False       65536    [256, 256, 1, 1] -5.13e-05    0.0368        float32
   97        model.10.m.0.attn.proj.bn.weight         BatchNorm2d     False         256               [256]      1.02     0.173        float32
   97          model.10.m.0.attn.proj.bn.bias         BatchNorm2d     False         256               [256] -1.57e-06  3.07e-05        float32
   98              model.10.m.0.attn.proj.act            Identity     False           0                  []         -         -              -
   99        model.10.m.0.attn.pe.conv.weight              Conv2d     False        2304      [256, 1, 3, 3]   -0.0277    0.0571        float32
  100          model.10.m.0.attn.pe.bn.weight         BatchNorm2d     False         256               [256]     0.664     0.239        float32
  100            model.10.m.0.attn.pe.bn.bias         BatchNorm2d     False         256               [256] -7.91e-07   5.3e-05        float32
  101                model.10.m.0.attn.pe.act            Identity     False           0                  []         -         -              -
  102          model.10.m.0.ffn.0.conv.weight              Conv2d     False      131072    [512, 256, 1, 1]  0.000117    0.0266        float32
  103            model.10.m.0.ffn.0.bn.weight         BatchNorm2d     False         512               [512]      1.16     0.173        float32
  103              model.10.m.0.ffn.0.bn.bias         BatchNorm2d     False         512               [512]    -0.883     0.223        float32
  104          model.10.m.0.ffn.1.conv.weight              Conv2d     False      131072    [256, 512, 1, 1]  0.000366    0.0252        float32
  105            model.10.m.0.ffn.1.bn.weight         BatchNorm2d     False         256               [256]     0.712     0.244        float32
