model,processing,cycle,variant,dataset,class_id,class_name,threshold,recall,specificity,precision,f1_score,tp,fp,tn,fn
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.63,0.05172413793103448,0.9992764109985528,0.75,0.0967741935483871,3,1,1381,55
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.66,0.017241379310344827,1.0,1.0,0.03389830508474576,1,0,1382,57
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.69,0.017241379310344827,1.0,1.0,0.03389830508474576,1,0,1382,57
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.72,0.017241379310344827,1.0,1.0,0.03389830508474576,1,0,1382,57
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.76,0.017241379310344827,1.0,1.0,0.03389830508474576,1,0,1382,57
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.79,0.0,1.0,0.0,0.0,0,0,1382,58
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.82,0.0,1.0,0.0,0.0,0,0,1382,58
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.85,0.0,1.0,0.0,0.0,0,0,1382,58
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.89,0.0,1.0,0.0,0.0,0,0,1382,58
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.92,0.0,1.0,0.0,0.0,0,0,1382,58
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.95,0.0,1.0,0.0,0.0,0,0,1382,58
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.01,0.6851063829787234,0.10612244897959183,0.4236842105263158,0.5235772357723577,483,657,78,222
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.04,0.4581560283687943,0.3945578231292517,0.4205729166666667,0.4385607603530211,323,445,290,382
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.07,0.3517730496453901,0.507482993197279,0.4065573770491803,0.37718631178707224,248,362,373,457
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.11,0.28368794326241137,0.6,0.4048582995951417,0.33361134278565474,200,294,441,505
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.14,0.24113475177304963,0.6639455782312925,0.407673860911271,0.303030303030303,170,247,488,535
faster_rcnn,clahe,0,scratch,val,0,Other_Amphibian,0.17,0.2226950354609929,0.7115646258503401,0.4254742547425474,0.29236499068901306,157,212,523,548
