model,processing,cycle,variant,dataset,mAP,mAR,binary_auc,binary_recall_0.1,binary_precision_0.1,binary_f1_0.1,Other_Amphibian_auc,Other_Amphibian_ap,Other_Amphibian_ar,Other_Amphibian_f1_default,Other_Amphibian_recall_default,Other_Amphibian_precision_default,Other_Amphibian_f1_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_precision_optimal,Other_Amphibian_specificity_optimal,Other_Amphibian_optimal_threshold,Small_Mammal_auc,Small_Mammal_ap,Small_Mammal_ar,Small_Mammal_f1_default,Small_Mammal_recall_default,Small_Mammal_precision_default,Small_Mammal_f1_optimal,Small_Mammal_recall_optimal,Small_Mammal_precision_optimal,Small_Mammal_specificity_optimal,Small_Mammal_optimal_threshold,Western_Leopard_Toad_auc,Western_Leopard_Toad_ap,Western_Leopard_Toad_ar,Western_Leopard_Toad_f1_default,Western_Leopard_Toad_recall_default,Western_Leopard_Toad_precision_default,Western_Leopard_Toad_f1_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_specificity_optimal,Western_Leopard_Toad_optimal_threshold
faster_rcnn,plain,0,scratch,test_full_seq,,,0.7987437015654373,0.875453446191052,0.010591918541709336,0.020930602333010508,0.8174857673047835,,0.0,,,,,,,,,0.6982758620689656,,0.0,,,,,,,,,0.9053168845972438,,0.0,,,,,,,,
faster_rcnn,plain,0,scratch,test,0.344344197563948,0.6979593942677296,,,,,,0.46826195980266383,0.751412429378531,,,,0.560717196414018,0.4858757062146893,0.6628131021194605,0.78125,0.2103,,0.00014371945961483184,0.5,,,,0.0005745475438092501,0.5,0.0002874389192296637,0.07515151515151515,0.0018,,0.5646269134295653,0.8424657534246576,,,,0.6104417670682731,0.5205479452054794,0.7378640776699029,0.9795918367346939,0.8133
faster_rcnn,plain,0,scratch,val_full_seq,,,0.6841492671540603,0.4522875816993464,0.009983265047030988,0.01953533015272563,0.6725022131501074,,0.0,,,,,,,,,1.0,,0.0,,,,,,,,,0.8521504472690526,,0.0,,,,,,,,
faster_rcnn,plain,1,pretrained,test,0.25277459688229537,0.6270348012279752,,,,,,0.21221923765746598,0.6002824858757062,,,,0.31366691560866317,0.2966101694915254,0.3328050713153724,0.2734375,0.0474,,0.006329113924050633,0.5,,,,0.02469135802469136,0.5,0.012658227848101266,0.9139393939393939,0.0142,,0.5397754390653695,0.7808219178082192,,,,0.6135458167330677,0.5273972602739726,0.7333333333333333,0.978134110787172,0.4649
faster_rcnn,plain,1,scratch,test,0.3743310475788235,0.8398859737378427,,,,,,0.5129918008383857,0.6977401129943502,,,,0.595850622406639,0.5070621468926554,0.7223340040241448,0.734375,0.1802,,0.002844231791600213,1.0,,,,0.01,0.5,0.005050505050505051,0.7915151515151515,0.0157,,0.6071571101064847,0.821917808219178,,,,0.6479999999999999,0.5547945205479452,0.7788461538461539,0.9941690962099126,0.3765
faster_rcnn,plain,2,pretrained,test,0.3179363844421804,0.6553994788845032,,,,,,0.38373889719328136,0.6511299435028248,,,,0.4743390357698289,0.4307909604519774,0.527681660899654,0.734375,0.1109,,0.038461538461538464,0.5,,,,0.13333333333333336,0.5,0.07692307692307693,0.9866666666666667,0.0149,,0.5316087176717215,0.815068493150685,,,,0.6147186147186148,0.4863013698630137,0.8352941176470589,0.9897959183673469,0.8493
faster_rcnn,plain,2,scratch,test,0.30942012179474826,0.6611459381368832,,,,,,0.46402843157997464,0.7231638418079096,,,,0.569747899159664,0.4788135593220339,0.7033195020746889,0.703125,0.2585,,0.009433962264150943,0.5,,,,0.03636363636363636,0.5,0.018867924528301886,0.9381818181818182,0.0518,,0.45479797154011925,0.7602739726027398,,,,0.5302325581395348,0.3904109589041096,0.8260869565217391,0.9985422740524781,0.771
faster_rcnn,plain,3,pretrained,test,0.29056381528326464,0.6617779841601527,,,,,,0.32436482975708136,0.6497175141242938,,,,0.40590979782270603,0.3686440677966102,0.4515570934256055,0.4453125,0.0526,,0.0008517887563884157,0.5,,,,0.003395585738539898,0.5,0.0017035775127768314,0.45454545454545453,0.002,,0.5464748273363242,0.8356164383561644,,,,0.5782312925170067,0.5821917808219178,0.5743243243243243,0.9300291545189504,0.7328
faster_rcnn,plain,3,scratch,test,0.41624511358788713,0.8319338028532363,,,,,,0.5531091186172664,0.769774011299435,,,,0.634441087613293,0.5932203389830508,0.6818181818181818,0.765625,0.2302,,0.12529806259314455,1.0,,,,0.3333333333333333,0.5,0.25,0.9975757575757576,0.0526,,0.5703281595532504,0.726027397260274,,,,0.6491228070175438,0.5068493150684932,0.9024390243902439,0.9956268221574344,0.5428
faster_rcnn,plain,4,pretrained,test,0.30177400687705014,0.5894409617418672,,,,,,0.29433314872209715,0.4943502824858757,,,,0.39738805970149255,0.3008474576271186,0.5851648351648352,0.5625,0.0469,,0.0017667844522968198,0.5,,,,0.007017543859649122,0.5,0.0035335689045936395,0.7406060606060606,0.0012,,0.6092220874567564,0.773972602739726,,,,0.675,0.5547945205479452,0.8617021276595744,0.9912536443148688,0.3615
faster_rcnn,plain,4,scratch,test,0.3273889424729021,0.7743531202435312,,,,,,0.42219926609521874,0.5833333333333334,,,,0.5159474671669795,0.3884180790960452,0.7681564245810056,0.828125,0.0863,,0.006412515664160401,1.0,,,,0.015384615384615385,0.5,0.0078125,0.8606060606060606,0.1034,,0.5535550456593272,0.7397260273972602,,,,0.6497890295358649,0.5273972602739726,0.8461538461538461,0.9897959183673469,0.7831
