model,processing,cycle,variant,dataset,mAP,mAP50-95,mAR,precision,recall,Other_Amphibian_ap,Other_Amphibian_precision_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_optimal_threshold,Other_Amphibian_specificity_optimal,Small_Mammal_ap,Small_Mammal_precision_optimal,Small_Mammal_recall_optimal,Small_Mammal_optimal_threshold,Small_Mammal_specificity_optimal,Western_Leopard_Toad_ap,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_optimal_threshold,Western_Leopard_Toad_specificity_optimal
yolo,clahe,3,pretrained,test,0.8438323931073654,0.7010572390045086,0.6456490502330002,0.7586074284210499,0.6456490502330002,0.788461813796415,0.7586074284210499,0.6456490502330002,0.25,0.95,0.8283333333333331,0.7586074284210499,0.6456490502330002,0.25,0.95,0.9147020321923481,0.7586074284210499,0.6456490502330002,0.25,0.95
yolo,clahe,3,pretrained,val,0.7789158409757029,0.5977373598849638,0.6730072463768115,0.7730696606179213,0.6730072463768115,0.6991451671922431,0.7730696606179213,0.6730072463768115,0.25,0.95,0.995,0.7730696606179213,0.6730072463768115,0.25,0.95,0.6426023557348659,0.7730696606179213,0.6730072463768115,0.25,0.95
yolo,clahe,3,pretrained,test,0.7631987932494031,0.6226756517737901,0.631388179449475,0.8695514001329498,0.631388179449475,0.8111982154147439,0.8695514001329498,0.631388179449475,0.25,0.95,0.5859090909090907,0.8695514001329498,0.631388179449475,0.25,0.95,0.8924890734243744,0.8695514001329498,0.631388179449475,0.25,0.95
yolo,clahe,3,pretrained,val,0.6736782659974514,0.5083363558132948,0.5906016970823208,0.7655688940531847,0.5906016970823208,0.6809253170158076,0.7655688940531847,0.5906016970823208,0.25,0.95,0.995,0.7655688940531847,0.5906016970823208,0.25,0.95,0.34510948097654653,0.7655688940531847,0.5906016970823208,0.25,0.95
yolo,clahe,3,scratch,test,0.5470478929695523,0.4506387725678819,0.4224453731651317,0.581881316206874,0.4224453731651317,0.7713585003434349,0.581881316206874,0.4224453731651317,0.25,0.95,0.009718527683266318,0.581881316206874,0.4224453731651317,0.25,0.95,0.8600666508819558,0.581881316206874,0.4224453731651317,0.25,0.95
yolo,clahe,3,scratch,val,0.8478479017348225,0.5436047164047565,0.649449506840912,0.8750026972188815,0.649449506840912,0.7828366119019309,0.8750026972188815,0.649449506840912,0.25,0.95,0.995,0.8750026972188815,0.649449506840912,0.25,0.95,0.7657070933025365,0.8750026972188815,0.649449506840912,0.25,0.95
yolo,clahe,4,pretrained,test,0.8789340107663234,0.7657157241360212,0.6966813252083988,0.965756455785538,0.6966813252083988,0.7582988980417906,0.965756455785538,0.6966813252083988,0.25,0.95,0.995,0.965756455785538,0.6966813252083988,0.25,0.95,0.8835031342571791,0.965756455785538,0.6966813252083988,0.25,0.95
yolo,clahe,4,pretrained,val,0.7394937315039313,0.539588672002049,0.5890366682810971,0.7288467206889059,0.5890366682810971,0.6203954249465657,0.7288467206889059,0.5890366682810971,0.25,0.95,0.995,0.7288467206889059,0.5890366682810971,0.25,0.95,0.603085769565228,0.7288467206889059,0.5890366682810971,0.25,0.95
yolo,clahe,4,pretrained,test,0.8584292745726633,0.7036813717575637,0.6414864970142745,0.8451952138114258,0.6414864970142745,0.8256474847607104,0.8451952138114258,0.6414864970142745,0.25,0.95,0.8283333333333331,0.8451952138114258,0.6414864970142745,0.25,0.95,0.9213070056239463,0.8451952138114258,0.6414864970142745,0.25,0.95
yolo,clahe,4,pretrained,val,0.7882826556803542,0.6353415735060604,0.7603753191683285,0.6644020998813897,0.7603753191683285,0.7401622339122739,0.6644020998813897,0.7603753191683285,0.25,0.95,0.995,0.6644020998813897,0.7603753191683285,0.25,0.95,0.6296857331287885,0.6644020998813897,0.7603753191683285,0.25,0.95
yolo,clahe,4,scratch,test,0.6094080189773601,0.4594771858002243,0.5897963727057283,0.5974067418958365,0.5897963727057283,0.8386112744333027,0.5974067418958365,0.5897963727057283,0.25,0.95,0.12734154929577463,0.5974067418958365,0.5897963727057283,0.25,0.95,0.8622712332030029,0.5974067418958365,0.5897963727057283,0.25,0.95
yolo,clahe,4,scratch,val,0.6212104652735897,0.4573615538845042,0.5502935366045083,0.5554211571233919,0.5502935366045083,0.827652094160367,0.5554211571233919,0.5502935366045083,0.25,0.95,0.24875,0.5554211571233919,0.5502935366045083,0.25,0.95,0.7872293016604022,0.5554211571233919,0.5502935366045083,0.25,0.95
rtdetr,plain,0,pretrained,test,0.5675835020165353,0.4625251217312466,0.5205426298816486,0.5640966651653327,0.5205426298816486,0.8182815406585381,0.5640966651653327,0.5205426298816486,0.25,0.95,0.03109375,0.5640966651653327,0.5205426298816486,0.25,0.95,0.8533752153910678,0.5640966651653327,0.5205426298816486,0.25,0.95
rtdetr,plain,0,pretrained,val,0.7809466744294168,0.6046408205496319,0.7102444395083496,0.8587147365449499,0.7102444395083496,0.6104960151619632,0.8587147365449499,0.7102444395083496,0.25,0.95,0.995,0.8587147365449499,0.7102444395083496,0.25,0.95,0.7373440081262869,0.8587147365449499,0.7102444395083496,0.25,0.95
rtdetr,plain,0,pretrained,test,0.694994523742181,0.4620307498441902,0.6683355624378393,0.7338519958455798,0.6683355624378393,0.7205115521606443,0.7338519958455798,0.6683355624378393,0.25,0.95,0.49500761284929534,0.7338519958455798,0.6683355624378393,0.25,0.95,0.8694644062166029,0.7338519958455798,0.6683355624378393,0.25,0.95
