epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,394.319,0.93087,2.97064,1.20563,0.96775,0.92025,0.995,0.6929,1.08188,2.24661,1.22884,0.000240644,0.000240644,0.000240644
86,396.633,1.08631,3.4059,1.41519,0.92188,0.96787,0.995,0.69681,1.06755,2.21547,1.22491,0.000226497,0.000226497,0.000226497
87,403.012,0.91097,3.38915,1.34143,0.92188,0.96787,0.995,0.69681,1.06755,2.21547,1.22491,0.000212349,0.000212349,0.000212349
88,405.952,0.91537,4.16329,1.40865,0.89004,0.98836,0.995,0.67389,1.06689,2.22466,1.24733,0.000198202,0.000198202,0.000198202
89,411.55,0.88677,3.2116,1.23335,0.89004,0.98836,0.995,0.67389,1.06689,2.22466,1.24733,0.000184055,0.000184055,0.000184055
90,413.77,1.0664,4.31591,1.51692,0.90229,0.99321,0.97833,0.64664,1.04649,2.22538,1.23836,0.000169908,0.000169908,0.000169908
91,425.921,0.79391,5.94572,1.16996,0.90229,0.99321,0.97833,0.64664,1.04649,2.22538,1.23836,0.000155761,0.000155761,0.000155761
92,431.751,0.81707,6.92296,1.11017,0.90646,1,0.97833,0.65812,1.02207,2.20156,1.22431,0.000141614,0.000141614,0.000141614
93,435.743,0.66662,5.87476,1.0519,0.90646,1,0.97833,0.65812,1.02207,2.20156,1.22431,0.000127467,0.000127467,0.000127467
94,441.755,0.7209,6.05105,1.03657,0.96608,0.98991,0.995,0.675,0.99864,2.14464,1.21781,0.00011332,0.00011332,0.00011332
95,445.297,0.82613,6.04397,1.04758,0.96608,0.98991,0.995,0.675,0.99864,2.14464,1.21781,9.91726e-05,9.91726e-05,9.91726e-05
96,448.062,0.75951,6.03076,1.07469,0.97579,0.96686,0.995,0.67924,0.99483,2.16078,1.21022,8.50255e-05,8.50255e-05,8.50255e-05
97,453.923,0.9203,6.2508,1.2463,0.97579,0.96686,0.995,0.67924,0.99483,2.16078,1.21022,7.08784e-05,7.08784e-05,7.08784e-05
98,456.837,0.65905,6.02448,1.09095,0.97809,0.95685,0.995,0.67143,0.99909,2.14481,1.20074,5.67313e-05,5.67313e-05,5.67313e-05
99,462.804,0.76642,5.74135,1.10156,0.97809,0.95685,0.995,0.67143,0.99909,2.14481,1.20074,4.25842e-05,4.25842e-05,4.25842e-05
100,465.104,0.80527,6.80419,1.19083,0.96318,0.96959,0.995,0.69181,0.99109,2.15201,1.18761,2.84371e-05,2.84371e-05,2.84371e-05
