epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,26913,0.5336,0.42225,0.0079,0.92881,0.89856,0.9441,0.83632,0.28898,0.2094,0.00622,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,27423.8,0.53274,0.42108,0.00793,0.92766,0.89935,0.94405,0.83646,0.2894,0.20749,0.00623,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,27936.2,0.532,0.42311,0.00794,0.93233,0.89332,0.94433,0.83759,0.28933,0.2071,0.00623,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,28449,0.51987,0.41441,0.0077,0.92872,0.89915,0.94484,0.83857,0.28853,0.20708,0.00622,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,28960.7,0.51954,0.40964,0.00769,0.93074,0.89698,0.94462,0.83881,0.28845,0.20792,0.00622,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,29473.2,0.51881,0.40852,0.00768,0.93016,0.894,0.94435,0.83928,0.28816,0.20583,0.00623,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,29985,0.51469,0.40338,0.00767,0.93125,0.89717,0.94422,0.83985,0.28772,0.20683,0.00622,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,30496.9,0.51653,0.40264,0.00766,0.93105,0.89542,0.94414,0.83952,0.28868,0.20706,0.00625,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,31007.9,0.50768,0.39478,0.00752,0.93268,0.89617,0.94421,0.84099,0.28798,0.20777,0.00624,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,31520.3,0.50816,0.3943,0.00758,0.92656,0.89478,0.9438,0.83926,0.28803,0.20863,0.00625,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,32032.9,0.50123,0.39605,0.00739,0.93476,0.8907,0.94514,0.84252,0.2887,0.20841,0.00627,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,32544.2,0.49905,0.38697,0.00743,0.94321,0.88851,0.94463,0.8423,0.28847,0.20972,0.00627,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,33056.3,0.4975,0.38856,0.00735,0.947,0.88265,0.94317,0.84067,0.28894,0.21154,0.0063,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,33568.5,0.496,0.3801,0.00732,0.94379,0.88266,0.94174,0.83965,0.28867,0.21363,0.0063,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,34081,0.48871,0.37355,0.00725,0.94304,0.88708,0.94349,0.84349,0.28882,0.21341,0.0063,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,34593.5,0.48657,0.37255,0.00717,0.94484,0.8866,0.94404,0.84428,0.2883,0.2133,0.0063,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,35104,0.48275,0.37342,0.00715,0.94535,0.887,0.9435,0.84407,0.28719,0.21012,0.00627,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,35614.5,0.47788,0.3691,0.00706,0.94316,0.88507,0.94247,0.84327,0.28703,0.21015,0.00626,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,36127.6,0.47735,0.36482,0.00706,0.94382,0.8831,0.94204,0.84313,0.28652,0.21076,0.00624,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,36637,0.47306,0.35767,0.00702,0.9307,0.89344,0.94265,0.84352,0.28622,0.21144,0.00623,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
