model,processing,cycle,variant,dataset,mAP,mAP50-95,mAR,precision,recall,Other_Amphibian_ap,Other_Amphibian_precision_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_optimal_threshold,Other_Amphibian_specificity_optimal,Small_Mammal_ap,Small_Mammal_precision_optimal,Small_Mammal_recall_optimal,Small_Mammal_optimal_threshold,Small_Mammal_specificity_optimal,Western_Leopard_Toad_ap,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_optimal_threshold,Western_Leopard_Toad_specificity_optimal
yolo,clahe,3,pretrained,val,0.6736782659974514,0.5083363558132948,0.5906016970823208,0.7655688940531847,0.5906016970823208,0.6809253170158076,0.6985645933014354,0.5801324503311258,0.0101,0.95,0.995,1.0,1.0,0.4018,0.95,0.3451094809765465,0.3543307086614173,0.5921052631578947,0.1423,0.95
yolo,clahe,3,scratch,test,0.5470478929695523,0.4506387725678819,0.4224453731651317,0.581881316206874,0.4224453731651317,0.7713585003434349,0.8267148014440433,0.6256830601092896,0.0104,0.95,0.0097185276832663,0.0,0.0,0.2117,0.95,0.8600666508819558,0.6831683168316832,0.8117647058823529,0.0543,0.95
yolo,clahe,3,scratch,val,0.8478479017348225,0.5436047164047565,0.649449506840912,0.8750026972188815,0.649449506840912,0.7828366119019309,0.9178356713426854,0.6066225165562914,0.0104,0.95,0.995,1.0,1.0,0.2117,0.95,0.7657070933025365,0.7681159420289855,0.6973684210526315,0.0543,0.95
yolo,clahe,4,pretrained,test,0.8584292745726633,0.7036813717575637,0.6414864970142745,0.8451952138114258,0.6414864970142745,0.8256474847607104,0.6900452488687783,0.8333333333333334,0.0256,0.95,0.8283333333333331,1.0,0.5,0.47720000000000007,0.95,0.9213070056239464,0.8865248226950354,0.7352941176470589,0.4394,0.95
yolo,clahe,4,pretrained,val,0.7882826556803542,0.6353415735060604,0.7603753191683285,0.6644020998813897,0.7603753191683285,0.7401622339122739,0.768370607028754,0.6370860927152318,0.0256,0.95,0.995,1.0,1.0,0.47720000000000007,0.95,0.6296857331287885,0.4766355140186916,0.6710526315789473,0.4394,0.95
yolo,clahe,4,scratch,test,0.6094080189773601,0.4594771858002243,0.5897963727057283,0.5974067418958365,0.5897963727057283,0.8386112744333027,0.7598908594815825,0.7609289617486339,0.0137,0.95,0.1273415492957746,0.0,0.0,0.0912,0.95,0.8622712332030029,0.6989247311827957,0.7647058823529411,0.0582,0.95
yolo,clahe,4,scratch,val,0.6212104652735897,0.4573615538845042,0.5502935366045083,0.5554211571233919,0.5502935366045083,0.827652094160367,0.7438867438867439,0.7655629139072848,0.0137,0.95,0.24875,1.0,1.0,0.0912,0.95,0.7872293016604022,0.7297297297297297,0.7105263157894737,0.0582,0.95
rtdetr,plain,0,pretrained,test,0.694994523742181,0.4620307498441902,0.6683355624378393,0.7338519958455798,0.6683355624378393,0.7205115521606443,0.7765793528505393,0.6885245901639344,0.2266,0.95,0.4950076128492953,1.0,0.5,0.5288,0.95,0.8694644062166029,0.6551724137931034,0.8941176470588236,0.7914,0.95
rtdetr,plain,0,pretrained,val,0.7779949160454013,0.6365448261751997,0.7496980676328503,0.7249104463851294,0.7496980676328503,0.6010003064869844,0.8369781312127237,0.5576158940397351,0.2266,0.95,0.995,1.0,1.0,0.5288,0.95,0.7379844416492194,0.5575221238938053,0.8289473684210527,0.7914,0.95
rtdetr,plain,0,scratch,test,0.5529747386976397,0.4662500070486545,0.5188831163166304,0.5091537785318919,0.5188831163166304,0.7961702229495993,0.8432,0.7199453551912568,0.2369,0.95,0.0223170473773265,0.0,0.0,0.4728,0.95,0.8404369457659931,0.7403314917127072,0.788235294117647,0.7995,0.95
